FSC_median,FSC_mean,FSC_sd,FL1_median,FL1_mean,FL1_sd,normalizedGFP_median,normalizedGFP_mean,normalizedGFP_sd,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted
DGY#2076_T6_B03,246544,283453.80727,160838.05317691,42055,45780.17188,36006.2758579472,0.169283920463395,0.165542434822755,0.0943767334689353,0.154103925970542,0.326080052565296,0.320823522969939,0.000700870612714231,91315
DGY#2071_T6_C03,265835.5,311209.0428,193688.165458336,35945.5,41473.50763,38609.6281288686,0.138622178155491,0.132568793650353,0.076367407103312,0.167637651974456,0.413445903016336,0.160896393534422,0.000215375669010672,92861
DGY#2150_T6_D03,277546,323333.34546,186274.763215627,44192,50414.97908,39765.3446933758,0.155977002162932,0.155963828011198,0.075374869342484,0.101122153164814,0.444978123896835,0.255666926969117,0.000267434024026273,93481
DGY#2084_T6_E03,255897.5,294186.27818,158740.496240184,44225,48020.95183,34914.7649125879,0.168362546019071,0.169059533984728,0.0940832889361818,0.135208143454819,0.356078491659987,0.332930699375185,0.000746702976929074,91067
DGY#2086_T6_F03,236171,273395.50917,159829.512765432,34512,39188.06891,26859.0333938131,0.143416753081985,0.148895866113209,0.0600433692637871,0.0525177565784418,0.417770849571317,0.145082498106331,4.39111677077273e-05,91093
DGY#2089_T6_G03,300379.5,348993.15243,219515.091297627,25114,27845.35776,24038.7461190042,0.0838686648939356,0.083681645606272,0.0495936330777447,0.179498269896194,0.225721635403387,0.0161172828264433,0,87856
DGY#2090_T6_H03,329374,384145.273,279032.063700707,21110,23957.66647,26536.1660792593,0.0677400200998155,0.0623738855078681,0.041199690737953,0.260814449181064,0.135247924612968,0.00306259816019744,0,89140
DGY#1972_T6_A04,261528,303676.22584,184247.656633649,66790.5,75459.60133,60692.5949138271,0.25730906085296,0.248945293296766,0.132817194263805,0.112579496731954,0.0792377131394183,0.690235541790206,0.0118817992438855,90727
DGY#2135_T6_B04,239443,270197.51489,140886.16712978,40291,42597.13424,32110.1103293289,0.167541748650559,0.161964775499443,0.0931111802348809,0.163302450523546,0.3199934214133,0.299665588509402,0.000526286936023244,91205
DGY#2143_T6_C04,255264.5,303795.5476,230749.423546962,32798,38672.61999,43203.7039863418,0.135907870578592,0.126392765267236,0.079694741294201,0.211188579017264,0.378231518370961,0.143514829570606,0.000166002656042497,90360
DGY#2144_T6_D04,274551,329649.21238,251916.404042884,34728,42032.83263,47039.2817804275,0.134347248352203,0.12423777803734,0.0750648378180773,0.195877422619179,0.425754009283499,0.131849880106474,0.000164991090481114,90914
DGY#2084_T6_E04,310037.5,339444.33557,176195.673843444,53305,58392.06145,42137.5774761947,0.181127791374844,0.166724678697198,0.0832391054203028,0.0942066889417893,0.383445242695646,0.350374158011038,0.000117424768086083,93677
DGY#2086_T6_F04,263793,303430.79772,173735.016565171,41433,45236.33557,34041.0303959872,0.152837376916382,0.155202857707222,0.0825130003798425,0.107882342486448,0.435128410201724,0.254632098107171,0.000366568914956012,90024
DGY#2089_T6_G04,300360.5,336133.10345,170889.993573574,43428.5,47796.86501,33106.2388101616,0.141890805996054,0.144706626130651,0.0654098842187929,0.0894324398538327,0.543058107851213,0.18192763449718,0.000105612234121201,94686
DGY#2090_T6_H04,294025.5,334402.01964,189900.075762268,41376.5,45893.04427,38666.9562697927,0.139197528713906,0.136437405593553,0.0705616661623639,0.137410558159992,0.509595889161848,0.171427958419602,0.000118004226696847,93217
DGY#1_T7_A05,257257,298587.31869,168819.222001449,1014,1447.59808,4035.68912961935,0.00364653376196134,0.00517722803930292,0.0105193580692478,1.05467339725228,0.00159977516673332,0.000691794666695491,0,92513
DGY#620_T7_B05,245869.5,286553.57702,168093.867470828,32623.5,37379.27483,36474.2615629535,0.142036930871314,0.129129880101777,0.0810413799787952,0.242245821764636,0.337964413426531,0.16853386342275,0.000151248338969135,92563
