Generation,Sample,Well,Nutrient,Pump,Strain,Population,FSC_median,FSC_mean,FSC_sd,FL1_median,FL1_mean,FL1_sd,normalizedGFP_median,normalizedGFP_mean,normalizedGFP_sd,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted,Proportion_total,
21,ur_h_bc05 E07 19 Urea DGY1706bc Experimental,,,,,,399671.5,428742.9336,184704.9108,72402,81567.54661,46929.02607,0.1860784428,0.1842142029,0.05629077703,0.05065210068,0.8550459599,0.0919437894,0,41558,0.9976418499,
21,ur_h_ctrl0 F05 12 Urea DGY1 0_copy_ctrl,,,,,,254561.5,286870.3559,136944.6735,768,1131.955224,1353.257124,0.002772585363,0.00436916489,0.005474531066,0.9991319624,0.001591402294,0,0,96770,1.000723365,
21,ur_h_bc02 F06 16 Urea DGY1706bc Experimental,,,,,,502309,502470.5701,209938.1901,87243,87408.06255,60473.03661,0.1756860017,0.1524128882,0.07876575494,0.1960544426,0.6750267625,0.1272365805,0,6539,0.9983177856,
21,ur_h_bc06 F07 20 Urea DGY1706bc Experimental,,,,,,469501,482693.4821,207400.3055,78690,81199.03416,60551.63369,0.1744163974,0.1492707026,0.08092649424,0.2081809872,0.6807586837,0.1110603291,0,8752,1,
21,mix_h_ctrl2,C09,Gln_Urea,25,DGY1315,2_copy_ctrl,253570,287142.2525,138697.6971,90184,103173.9824,54722.06752,0.347352857,0.3673600936,0.1094758745,0.006757616906,0.1696087584,0.828587796,0.002524823899,94264,1.007478995,
21,mix_h_bc04,C10,Gln_Urea,29,DGY1706bc,Experimental,249646,281373.7402,129335.7623,48073,53839.78489,26589.2169,0.185711959,0.1962591994,0.05853279498,0.005360577681,0.8831814503,0.1155046826,2.10E-05,95139,1.004067732,
21,mix_h_bc01,D09,Gln_Urea,26,DGY1706bc,Experimental,238438,265423.3835,115391.2379,40927,45447.80057,22174.57351,0.1660737732,0.1740099606,0.0504212367,0.01061315866,0.9504166494,0.04061813358,7.26E-05,96484,1.001720493,
21,mix_h_bc05,D10,Gln_Urea,30,DGY1706bc,Experimental,248051,277498.6073,124524.7499,44603,49556.99338,24092.57614,0.173709887,0.1827041466,0.05451716738,0.01118959805,0.9237773749,0.06761684483,4.17E-05,95982,1.002625492,
21,mix_h_ctrl0,E08,Gln_Urea,23,DGY1,0_copy_ctrl,236774,263797.8753,122181.5605,839,1269.363151,1442.705468,0.003299050466,0.005343899347,0.006483626568,0.9989718087,0.002297692865,0,0,95313,1.001269502,
21,mix_h_bc02,E09,Gln_Urea,27,DGY1706bc,Experimental,252072.5,279255.3364,117603.991,51728,56381.05276,25235.30873,0.1957839107,0.2081240332,0.06709091679,0.01437878181,0.8376062069,0.1543610719,5.27E-05,94862,1.006398769,
21,mix_h_bc06,E10,Gln_Urea,31,DGY1706bc,Experimental,241039.5,268653.7818,116593.079,42597,47163.71739,21977.57117,0.170687807,0.1800301096,0.05312755384,0.007637379696,0.9396564214,0.05439304564,4.14E-05,96630,1.001728242,
21,mix_h_ctrl1,F08,Gln_Urea,24,DGY500,1_copy_ctrl,275105,306826.4208,136209.8774,54461.5,60312.52329,28329.73888,0.1910179254,0.2037398561,0.06659273337,0.007311466337,0.8207892552,0.1778378493,0,93962,1.005938571,
21,mix_h_bc03,F09,Gln_Urea,28,DGY1706bc,Experimental,258309.5,289212.8267,131130.9556,39808.5,45142.15781,23434.60593,0.151119741,0.1588391306,0.04771495626,0.01101100074,0.9614358427,0.0286306543,3.08E-05,97448,1.001108283,
21,mix_h_bc07,F10,Gln_Urea,32,DGY1706bc,Experimental,251640,283286.2843,128622.9981,42495,48009.54859,24408.81759,0.1637989153,0.1728893073,0.05260511249,0.009620242723,0.9411237021,0.05114298382,9.28E-05,96983,1.001979728,
29,gln_h_ctrl0,C03,Glutamine,1,DGY1,0_copy_ctrl,245124,281879.6155,144460.352,1011,1299.075801,1306.29917,0.003782509773,0.005148609703,0.005553305397,0.9987542856,0.001686675265,0,0,90711,1.000440961,
29,gln_h_bc02,C04,Glutamine,5,DGY1706bc,Experimental,282907,318310.8797,155730.5412,50212,55676.32294,27128.40628,0.1730441642,0.1852037396,0.06353998828,0.004827040344,0.904250694,0.09520305898,0,89703,1.004280793,
29,gln_h_bc06,C05,Glutamine,9,DGY1706bc,Experimental,308030,343227.8828,167681.117,44167,49896.63009,27433.79115,0.1415976405,0.1491076378,0.04613457948,0.009387037257,0.9721625792,0.01851512176,0,92681,1.000064738,
29,gln_h_ctrl1,D03,Glutamine,2,DGY500,1_copy_ctrl,266023,302341.4991,144721.7152,53134,59034.25373,28516.92517,0.1906881419,0.2040735823,0.06771948096,0.006137922734,0.8378756879,0.1618398451,0,91399,1.005853456,
29,gln_h_bc03,D04,Glutamine,6,DGY1706bc,Experimental,282941,319273.5697,153110.0134,54045,59226.12376,27618.70003,0.1823457254,0.198643473,0.07509904123,0.004973549758,0.8512908622,0.149059547,1.13E-05,88468,1.005335262,
29,gln_h_bc07,D05,Glutamine,10,DGY1706bc,Experimental,289760,325591.3312,158587.5966,44937,49481.14036,24228.01308,0.1509412981,0.160210326,0.05388539083,0.0097659227,0.9536526946,0.03849755035,0,91850,1.001916168,
29,gln_h_ctrl2,E03,Glutamine,3,DGY1315,2_copy_ctrl,247669,282070.6779,142336.8058,80842,91896.97836,51913.92615,0.3180164918,0.3350920449,0.1101718329,0.01902956704,0.2804746148,0.710551397,8.57E-05,93381,1.010141249,
29,gln_h_bc04,E04,Glutamine,7,DGY1706bc,Experimental,276645.5,312410.5831,153308.6203,49957,54711.88879,26427.06882,0.1723828778,0.1863056109,0.06841463358,0.01155259737,0.8850903142,0.1074582045,0,89244,1.004101116,
29,gln_h_bc08,E05,Glutamine,11,DGY1706bc,Experimental,266985.5,300041.3814,145800.2248,38099.5,42761.07085,23477.42405,0.1407486514,0.1458782502,0.0449601791,0.02083988181,0.9661888896,0.01341128644,0,95442,1.000440058,
29,gln_h_bc01,F03,Glutamine,4,DGY1706bc,Experimental,276319,313804.1284,153648.6,46857,51963.45298,25700.93193,0.16328073,0.1749189529,0.06175631758,0.009535574193,0.9228051926,0.07068244371,0,92286,1.00302321,
29,gln_h_bc05,F04,Glutamine,8,DGY1706bc,Experimental,278237.5,312219.3771,148224.5711,49854.5,54531.80659,25372.50512,0.1724807031,0.1860720444,0.06763335197,0.007493958273,0.8917810345,0.1054031883,0,90206,1.004678181,
29,ur_h_ctrl1 C06 13 Urea DGY500 1_copy_ctrl,,,,,,318890,357929.2492,164744.1382,67070,73968.04779,35551.57292,0.2029029637,0.2137921594,0.0672466711,0.01088313611,0.8782856575,0.1079253538,0,90507,0.9970941474,
